clade	inclusive_count	exclusive_count
BA.1.1.14	12643	12643
BA.1.1.15	13793	13793
BA.1.1.16	737	737
BA.1.1.17	273	273
BA.1.1.18	34702	34702
BA.1.1.2	3870	3870
BA.1.1.3	356	356
BA.1.1.4	1713	1713
BA.1.1.6	62	62
BA.1.1.7	289	289
BA.1.1.8	683	683
BA.1.1.9	41	41
BA.1.10	1940	1940
BA.1.12	2571	2571
BA.1.13	849	826
BA.1.13.1	23	23
BA.1.14	2761	2478
BA.1.14.1	232	232
BA.1.14.2	51	51
BA.1.15	88116	59538
BA.1.15.1	28526	28526
BA.1.15.2	14	14
BA.1.15.3	38	38
BA.1.16	10939	10877
BA.1.16.1	41	41
BA.1.16.2	21	21
BA.1.17	136768	18703
BA.1.17.1	2	2
BA.1.17.2	118063	113355
BA.1.18	22733	22733
BA.1.19	1886	1886
BA.1.20	12926	12926
BA.1.21	1246	1141
BA.1.21.1	105	105
BA.1.23	2	2
BA.1.3	11	11
BA.1.4	34	34
BA.1.5	425	425
BA.1.6	82	82
BA.1.7	636	636
BA.1.8	604	604
BA.1.9	27	27
BA.2	1381593	577342
BA.2.1	13207	13207
BA.2.10	20869	18332
BA.2.10.1	2393	2393
BA.2.10.2	53	53
BA.2.10.3	75	75
BA.2.10.4	16	16
BA.2.11	35	35
BA.2.12	155518	3597
BA.2.12.1	151830	150268
BA.2.12.2	20	20
BA.2.13	2245	1650
BA.2.13.1	595	595
BA.2.14	1246	1246
BA.2.15	84	84
BA.2.16	519	519
BA.2.17	75	75
BA.2.18	6652	6652
BA.2.19	425	425
BA.2.2	581	546
BA.2.2.1	35	35
BA.2.20	498	498
BA.2.21	807	807
BA.2.22	1815	1815
BA.2.23	14088	13210
BA.2.23.1	878	878
BA.2.24	72	72
BA.2.25	233	181
BA.2.25.1	52	52
BA.2.26	841	841
BA.2.27	36	36
BA.2.28	66	66
BA.2.29	71	71
BA.2.3	41680	37494
BA.2.3.1	111	111
BA.2.3.10	170	170
BA.2.3.11	143	143
BA.2.3.12	120	120
BA.2.3.13	62	62
BA.2.3.14	132	132
BA.2.3.15	281	281
BA.2.3.16	7	7
BA.2.3.17	1505	1505
BA.2.3.18	2	2
BA.2.3.2	487	487
BA.2.3.4	394	394
BA.2.3.5	202	202
BA.2.3.6	270	270
BA.2.3.7	63	63
BA.2.3.8	5	5
BA.2.3.9	216	216
BA.2.3.9_rev10198	16	16
BA.2.30	27	27
BA.2.31	600	600
BA.2.31.1	127	127
BA.2.32	500	500
BA.2.34	99	99
BA.2.35	30	30
BA.2.36	4460	3310
BA.2.37	5544	5544
BA.2.38	1251	1146
BA.2.38.1	59	59
BA.2.38.2	13	13
BA.2.38.3	33	3
BA.2.39	658	658
BA.2.4	112	112
BA.2.40	442	2
BA.2.40.1	440	440
BA.2.41	1301	1301
BA.2.42	90	90
BA.2.43	52	52
BA.2.44	125	125
BA.2.45	140	140
BA.2.46	149	149
BA.2.47	991	991
BA.2.48	1205	1205
BA.2.49	439	439
BA.2.5	963	963
BA.2.50	711	711
BA.2.51	258	258
BA.2.52	428	428
BA.2.53	229	229
BA.2.54	96	96
BA.2.55	183	183
BA.2.56	2289	2289
BA.2.57	33	33
BA.2.58	6	6
BA.2.59	77	77
BA.2.6	601	601
BA.2.60	28	28
BA.2.61	13	13
BA.2.62	17	17
BA.2.63	72	72
BA.2.64	120	120
BA.2.65	958	958
BA.2.66	26	26
BA.2.67	273	273
BA.2.68	83	83
BA.2.69	4	4
BA.2.7	3087	3087
BA.2.70	28	28
BA.2.71	85	85
BA.2.72	468	468
BA.2.73	283	283
BA.2.74	166	166
BA.2.75	1092	253
BA.2.75.1	329	213
BA.2.75.2	191	183
BA.2.75.3	351	54
BA.2.75.4	19	11
BA.2.75.5	106	64
BA.2.75.6	19	2
BA.2.75.7	15	7
BA.2.75_dropout	1096	4
BA.2.76	591	591
BA.2.77	13	13
BA.2.78	49	49
BA.2.79	45	45
BA.2.8	6550	6550
BA.2.80	25	25
BA.2.81	52	52
BA.2.82	17	17
BA.2.85	2	2
BA.2.9	104314	102180
BA.2.9.1	686	686
BA.2.9.2	538	538
BA.2.9.3	584	584
BA.2.9.4	39	39
BA.2.9.5	146	146
BA.2.9.6	141	141
BA.2_21765_no22792	1150	733
BA.3	137	69
BA.3.1	68	68
BA.4	62510	14590
BA.4.1	27969	25346
BA.4.1.1	1076	1076
BA.4.1.10	24	24
BA.4.1.2	7	7
BA.4.1.3	52	52
BA.4.1.4	66	66
BA.4.1.5	35	35
BA.4.1.6	780	780
BA.4.1.8	578	578
BA.4.1.9	5	5
BA.4.2	2089	2089
BA.4.3	42	42
BA.4.4	3311	3311
BA.4.5	75	75
BA.4.6	13927	13577
BA.4.6.1	350	350
BA.4.7	488	488
BA.4.8	19	19
BA.5	330668	4532
BA.5.1	84697	56666
BA.5.1.1	4707	4707
BA.5.1.10	3554	3011
BA.5.1.11	497	497
BA.5.1.12	125	125
BA.5.1.15	29	29
BA.5.1.16	64	64
BA.5.1.17	122	122
BA.5.1.18	264	264
BA.5.1.19	70	70
BA.5.1.2	1833	1833
BA.5.1.20	29	29
BA.5.1.21	380	292
BA.5.1.22	4064	4064
BA.5.1.23	3454	3454
BA.5.1.24	1816	1789
BA.5.1.25	1431	1431
BA.5.1.26	29	29
BA.5.1.27	66	66
BA.5.1.28	25	25
BA.5.1.3	2131	2131
BA.5.1.4	619	619
BA.5.1.5	1375	1375
BA.5.1.6	788	788
BA.5.1.7	140	140
BA.5.1.8	21	21
BA.5.1.9	345	345
BA.5.10	153	139
BA.5.10.1	14	14
BA.5.1_no27438	84	84
BA.5.2	157911	36423
BA.5.2.1	103830	65717
BA.5.2.10	9	9
BA.5.2.11	5	5
BA.5.2.12	16	16
BA.5.2.13	178	178
BA.5.2.14	22	22
BA.5.2.16	334	318
BA.5.2.18	90	90
BA.5.2.19	239	239
BA.5.2.1_no28330	220	220
BA.5.2.2	578	578
BA.5.2.20	3010	2980
BA.5.2.21	2182	2182
BA.5.2.22	487	487
BA.5.2.23	30	30
BA.5.2.24	63	63
BA.5.2.25	11	11
BA.5.2.26	353	353
BA.5.2.27	483	456
BA.5.2.28	476	476
BA.5.2.29	55	55
BA.5.2.3	3074	2981
BA.5.2.30	3	3
BA.5.2.31	327	298
BA.5.2.33	306	263
BA.5.2.4	98	98
BA.5.2.6	212	212
BA.5.2.7	142	142
BA.5.2.8	177	177
BA.5.2.9	4698	4698
BA.5.2_no28330	2205	2052
BA.5.3	31671	748
BA.5.3.1	28745	1552
BA.5.3.2	397	397
BA.5.3.3	1675	1675
BA.5.3.4	106	106
BA.5.5	29983	28788
BA.5.5.1	446	446
BA.5.5.2	501	501
BA.5.5.3	248	248
BA.5.6	16349	15973
BA.5.6.1	59	59
BA.5.6.2	317	317
BA.5.7	6	6
BA.5.8	2384	2384
BA.5.9	471	471
BB.1	38	38
BB.2	296	296
BC.1	210	210
BC.2	5	5
BD.1	4708	4708
BE.1	22228	10997
BE.1.1	10803	9552
BE.1.1.1	566	327
BE.1.1.2	685	685
BE.1.2	157	145
BE.1.2.1	12	12
BE.1.3	271	271
BE.2	470	470
BE.3	4146	4146
BE.4	349	325
BE.4.1	24	24
BF.1	4119	3901
BF.1.1	218	218
BF.10	6874	6874
BF.11	882	882
BF.12	95	95
BF.13	254	254
BF.14	42	42
BF.15	105	105
BF.16	174	174
BF.17	9	9
BF.18	17	17
BF.19	19	19
BF.2	625	625
BF.20	113	113
BF.21	2561	2561
BF.22	38	38
BF.23	29	29
BF.24	23	23
BF.25	73	73
BF.26	2529	2529
BF.27	2667	2667
BF.28	3465	3465
BF.3	337	312
BF.3.1	25	25
BF.4	1486	1486
BF.5	6485	6462
BF.6	991	991
BF.7	1609	1609
BF.8	2167	2167
BF.9	128	128
BG.1	30	30
BG.2	659	659
BG.3	10	10
BG.4	41	41
BG.5	822	822
BH.1	30	30
BK.1	543	543
BL.1	69	69
BL.1.3	4	4
BL.2	13	13
BL.3	15	15
BL.4	19	19
BM.1	8	8
BM.1.1	64	56
BM.1.1.1	8	8
BM.2	3	3
BM.4	77	4
BM.4.1	73	3
BM.4.1.1	70	6
BM.5	2	2
BN.1	30	30
BN.2	12	5
BN.2.1	7	7
BQ.1	239	155
BQ.1.1	72	72
BQ.1.2	8	8
BQ.1.3	4	4
BR.1	8	8
BT.1	88	88
BU.1	16	16
BV.1	30	30
BY.1	211	20
BZ.1	93	93
C.1	19	11
C.12	124	124
C.13	4	4
C.14	21	21
C.16	305	305
C.17	1707	521
C.18	28	28
C.2	42	7
C.2.1	35	35
C.20	11	11
C.23	108	108
C.25	2	2
C.26	15	15
C.27	54	54
C.28	9	9
C.3	138	138
C.30	572	567
C.30.1	5	5
C.31	13	13
C.32	3	3
C.33	2	2
C.35	538	538
C.36	63	63
C.36.1	2	2
C.36.2	27	27
C.36.3	1157	920
C.36.3.1	237	237
C.37	1315	1220
C.37.1	95	95
C.38	65	65
C.4	11	11
C.5	10	10
CA.1	8	8
CB.1	17	17
CD.1	15	15
CD.2	14	14
CE.1	43	43
CF.1	27	27
D.2	11458	11458
D.3	151	151
D.4	12	12
D.5	3	3
G.1	24	24
L.2	13	13
L.3	142	142
L.4	5	5
M.2	14	14
M.3	12	12
N.1	39	39
N.10	3	3
N.2	15	15
N.3	8	8
N.4	42	42
N.5	70	70
N.6	18	18
N.7	20	20
N.8	35	35
N.9	5	5
P.1	26655	17489
P.1.1	310	310
P.1.10	2905	2905
P.1.11	8	8
P.1.12	111	105
P.1.12.1	6	6
P.1.13	837	837
P.1.14	292	292
P.1.15	295	295
P.1.16	215	215
P.1.17	3490	3383
P.1.17.1	107	107
P.1.2	71	71
P.1.4	11	11
P.1.7	510	492
P.1.7.1	18	18
P.1.8	56	56
P.1.9	55	55
P.2	1317	1317
P.3	46	46
P.6	3	3
P.7	14	14
Q.1	13	13
Q.2	8	8
Q.3	5099	5099
Q.4	3562	3562
Q.6	2	2
Q.7	34	34
Q.8	7	7
R.1	2968	2968
R.2	70	70
U.1	78	78
U.3	2	2
V.1	33	33
V.2	31	31
W.1	44	44
W.2	3	3
W.3	191	191
W.4	743	743
XA	40	40
XAA	65	65
XAB	34	34
XAC	57	57
XAD	25	25
XAE	25	25
XAF	43	43
XAG	28	28
XAH	5	5
XAJ	71	71
XAK	2	2
XAL	18	18
XAM	85	85
XAN	53	53
XAP	51	51
XAS	167	167
XAT	2	2
XAU	20	20
XAV	27	27
XAZ	375	375
XB	2006	2006
XD	16	16
XE	2424	2424
XF	39	39
XG	422	422
XH	137	137
XJ	4	4
XL	112	112
XM	314	189
XN	311	311
XP	76	76
XQ	132	132
XR	173	173
XS	43	43
XU	2	2
XV	27	27
XW	88	88
XY	87	87
XZ	106	106
Y.1	11	11
Z.1	258	258
miscBA1BA2Post13k	405	48
miscBA1BA2Post17k	107	107
miscBA1BA2Post5386	4484	162
miscBA1BA2Post8393	3269	158
miscBA1BA2Pre10k	11	11
miscBA1BA2Pre4321	581	162
miscBA2BA1PostSpike	1825	1554
miscDeltaBA1Post11k	58	22
miscDeltaBA1Post4k	162	12
proposed1006	87	87
proposed422	4	4
proposed439	10	10
proposed441	6	6
proposed446	10	10
proposed467	16	16
