clade	inclusive_count	exclusive_count
AY.4.2.2	28704	28704
AY.4.2.3	3316	3316
AY.4.2.4	29	29
AY.4.2.5	812	812
AY.4.3	1743	1743
AY.4.4	1249	1249
AY.4.5	3249	3249
AY.4.6	11642	11642
AY.4.7	972	972
AY.4.8	4362	4362
AY.4.9	1233	1233
AY.41	1406	1406
AY.42	10743	10717
AY.42.1	26	26
AY.43	133030	122034
AY.43.1	192	192
AY.43.2	167	167
AY.43.3	260	260
AY.43.4	2930	2930
AY.43.5	12	12
AY.43.6	6113	6113
AY.43.7	69	69
AY.43.8	713	713
AY.43.9	540	540
AY.44	194071	194071
AY.45	770	770
AY.46	39508	5015
AY.46.1	1229	1229
AY.46.2	879	879
AY.46.3	184	184
AY.46.4	4709	4709
AY.46.5	13110	13110
AY.46.6	14382	14377
AY.46.6.1	5	5
AY.47	31482	31482
AY.48	1431	1431
AY.49	149	149
AY.5	51268	48154
AY.5.1	23	23
AY.5.2	35	35
AY.5.3	1891	1891
AY.5.4	945	945
AY.5.5	213	213
AY.5.6	7	7
AY.50	47	47
AY.51	908	908
AY.52	957	957
AY.53	362	362
AY.54	10374	10374
AY.55	51	51
AY.56	239	239
AY.57	1387	1387
AY.58	504	504
AY.59	48	48
AY.6	25883	25883
AY.60	618	618
AY.61	237	237
AY.62	1598	1598
AY.63	12	12
AY.64	1466	1466
AY.65	1304	1304
AY.66	52	52
AY.67	1861	1861
AY.68	805	805
AY.69	17	17
AY.7	14402	5139
AY.7.1	8577	8577
AY.7.2	686	686
AY.70	1005	1005
AY.71	322	322
AY.72	355	355
AY.73	443	443
AY.74	741	741
AY.75	16571	16542
AY.75.2	27	27
AY.75.3	2	2
AY.76	15	15
AY.77	318	318
AY.78	169	169
AY.79	95	95
AY.8	1714	1714
AY.80	1140	1140
AY.81	513	513
AY.82	23	23
AY.83	454	454
AY.84	1217	1217
AY.85	364	364
AY.86	70	70
AY.87	931	931
AY.88	552	552
AY.9	30131	11798
AY.9.2	18333	18248
AY.9.2.2	85	85
AY.90	1844	1844
AY.91	728	548
AY.91.1	180	180
AY.92	682	682
AY.93	6	6
AY.94	365	365
AY.95	145	145
AY.98	55076	41266
AY.98.1	13810	13236
AY.98.1.1	574	574
AY.99	4049	169
AY.99.1	214	214
AY.99.2	3666	3666
AZ.2	216	137
AZ.2.1	79	79
AZ.3	501	501
AZ.4	50	50
AZ.5	24	24
B	6288391	3494
B.1	6270017	44828
B.1.1	3087180	22921
B.1.1.1	7103	1924
B.1.1.10	815	655
B.1.1.101	14	14
B.1.1.107	31	31
B.1.1.109	24	24
B.1.1.111	32	32
B.1.1.113	47	47
B.1.1.114	16	16
B.1.1.115	275	113
B.1.1.116	8	8
B.1.1.117	5	5
B.1.1.118	17	17
B.1.1.119	29	29
B.1.1.12	126	126
B.1.1.120	26	26
B.1.1.121	3	3
B.1.1.122	8	8
B.1.1.123	52	52
B.1.1.125	93	93
B.1.1.128	77	77
B.1.1.129	211	2
B.1.1.13	17	17
B.1.1.130	67	67
B.1.1.132	60	60
B.1.1.133	21	21
B.1.1.134	70	70
B.1.1.135	110	103
B.1.1.136	35	35
B.1.1.137	73	73
B.1.1.138	171	171
B.1.1.139	32	32
B.1.1.14	58	58
B.1.1.141	104	104
B.1.1.142	873	675
B.1.1.144	24	24
B.1.1.145	20	20
B.1.1.147	13	13
B.1.1.148	16	16
B.1.1.149	62	62
B.1.1.15	77	77
B.1.1.152	3	3
B.1.1.153	270	270
B.1.1.154	24	24
B.1.1.155	14	14
B.1.1.158	41	41
B.1.1.159	45	45
B.1.1.16	11	11
B.1.1.160	10	10
B.1.1.161	48	48
B.1.1.162	26	26
B.1.1.163	12	12
B.1.1.164	188	188
B.1.1.165	68	68
B.1.1.166	28	28
B.1.1.168	42	42
B.1.1.169	10	10
B.1.1.17	53	53
B.1.1.170	330	330
B.1.1.171	208	208
B.1.1.172	29	29
B.1.1.174	151	151
B.1.1.175	7	7
B.1.1.176	18	18
B.1.1.177	6	6
B.1.1.178	20	20
B.1.1.180	87	87
B.1.1.181	22	22
B.1.1.182	6	6
B.1.1.185	6	6
B.1.1.186	186	186
B.1.1.187	14	14
B.1.1.189	435	270
B.1.1.190	14	14
B.1.1.192	187	187
B.1.1.193	12	12
B.1.1.194	126	126
B.1.1.196	171	171
B.1.1.197	24	24
B.1.1.198	477	477
B.1.1.200	143	120
B.1.1.201	2	2
B.1.1.203	21	21
B.1.1.204	114	114
B.1.1.205	89	89
B.1.1.207	512	512
B.1.1.208	72	72
B.1.1.209	27	27
B.1.1.210	15	15
B.1.1.213	47	47
B.1.1.214	445	445
B.1.1.216	138	105
B.1.1.217	279	279
B.1.1.218	58	58
B.1.1.219	90	90
B.1.1.220	234	234
B.1.1.221	2	2
B.1.1.222	16260	3403
B.1.1.224	6	6
B.1.1.225	99	99
B.1.1.226	21	21
B.1.1.227	230	230
B.1.1.228	326	326
B.1.1.229	32	32
B.1.1.231	156	156
B.1.1.232	367	286
B.1.1.234	53	53
B.1.1.236	93	93
B.1.1.237	171	171
B.1.1.239	36	36
B.1.1.240	226	226
B.1.1.241	312	212
